Position	Percent G+C 1 .. 5690603
125	0.260
175	0.192
225	0.148
275	0.156
325	0.156
375	0.144
425	0.148
475	0.136
525	0.108
575	0.116
625	0.120
675	0.108
725	0.128
775	0.140
825	0.148
875	0.168
925	0.192
975	0.164
1025	0.172
1075	0.180
1125	0.192
1175	0.156
1225	0.156
1275	0.156
1325	0.148
1375	0.124
1425	0.120
1475	0.132
1525	0.148
1575	0.140
1625	0.208
1675	0.280
1725	0.308
1775	0.292
1825	0.324
1875	0.268
1925	0.204
1975	0.176
2025	0.176
2075	0.136
2125	0.148
2175	0.168
2225	0.184
2275	0.224
2325	0.232
2375	0.216
2425	0.232
2475	0.212
2525	0.184
2575	0.220
2625	0.256
2675	0.256
2725	0.244
2775	0.232
2825	0.236
2875	0.224
2925	0.184
2975	0.184
3025	0.208
3075	0.208
3125	0.216
3175	0.292
3225	0.356
3275	0.392
3325	0.432
3375	0.448
3425	0.468
3475	0.496
3525	0.516
3575	0.512
3625	0.532
3675	0.540
3725	0.512
3775	0.472
3825	0.456
3875	0.472
3925	0.456
3975	0.476
4025	0.524
4075	0.548
4125	0.540
4175	0.532
4225	0.540
4275	0.512
4325	0.496
4375	0.492
4425	0.524
4475	0.520
4525	0.540
4575	0.560
4625	0.544
4675	0.516
4725	0.492
4775	0.432
4825	0.392
4875	0.400
4925	0.420
4975	0.440
5025	0.492
5075	0.516
5125	0.532
5175	0.520
5225	0.508
5275	0.492
5325	0.488
5375	0.488
5425	0.500
5475	0.508
5525	0.532
5575	0.548
5625	0.536
5675	0.508
5725	0.516
5775	0.496
5825	0.488
5875	0.492
5925	0.516
5975	0.508
6025	0.504
6075	0.484
6125	0.488
6175	0.480
6225	0.496
6275	0.492
6325	0.496
6375	0.508
6425	0.508
6475	0.480
6525	0.476
6575	0.492
6625	0.464
6675	0.456
6725	0.472
6775	0.500
6825	0.504
6875	0.504
6925	0.480
6975	0.488
7025	0.472
7075	0.476
7125	0.456
7175	0.484
7225	0.448
7275	0.424
7325	0.392
7375	0.424
7425	0.428
7475	0.436
7525	0.456
7575	0.492
7625	0.480
7675	0.436
7725	0.456
7775	0.456
7825	0.432
7875	0.428
7925	0.480
7975	0.512
8025	0.512
8075	0.536
8125	0.532
8175	0.520
8225	0.504
8275	0.512
8325	0.484
8375	0.464
8425	0.404
8475	0.340
8525	0.300
8575	0.332
8625	0.368
8675	0.448
8725	0.488
8775	0.516
8825	0.488
8875	0.464
8925	0.432
8975	0.424
9025	0.428
9075	0.424
9125	0.448
9175	0.444
9225	0.444
9275	0.456
9325	0.448
9375	0.436
9425	0.416
9475	0.424
9525	0.424
9575	0.444
9625	0.484
9675	0.496
9725	0.508
9775	0.480
9825	0.444
9875	0.392
9925	0.404
9975	0.392
10025	0.416
10075	0.480
10125	0.508
10175	0.520
10225	0.516
10275	0.516
10325	0.484
10375	0.480
10425	0.488
10475	0.516
10525	0.528
10575	0.524
10625	0.500
10675	0.464
10725	0.452
10775	0.444
10825	0.420
10875	0.404
10925	0.400
10975	0.372
11025	0.332
11075	0.348
11125	0.372
11175	0.380
11225	0.364
11275	0.356
11325	0.360
11375	0.356
11425	0.380
11475	0.384
11525	0.408
11575	0.444
11625	0.460
11675	0.432
11725	0.452
11775	0.432
11825	0.408
11875	0.408
11925	0.424
11975	0.424
12025	0.444
12075	0.440
12125	0.412
12175	0.416
12225	0.432
12275	0.444
12325	0.440
12375	0.476
12425	0.460
12475	0.460
12525	0.496
12575	0.500
12625	0.484
12675	0.500
12725	0.516
12775	0.488
12825	0.516
12875	0.536
12925	0.556
12975	0.540
13025	0.516
13075	0.516
13125	0.508
13175	0.496
13225	0.520
13275	0.512
13325	0.500
13375	0.520
13425	0.536
13475	0.520
13525	0.520
13575	0.500
13625	0.504
13675	0.480
13725	0.448
13775	0.476
13825	0.480
13875	0.468
13925	0.472
13975	0.484
14025	0.460
14075	0.476
14125	0.448
14175	0.444
14225	0.420
14275	0.428
14325	0.404
14375	0.384
14425	0.348
14475	0.372
14525	0.380
14575	0.388
14625	0.408
14675	0.460
14725	0.476
14775	0.496
14825	0.492
14875	0.524
14925	0.516
14975	0.492
15025	0.488
15075	0.492
15125	0.464
15175	0.460
15225	0.496
15275	0.480
15325	0.500
15375	0.524
15425	0.528
15475	0.544
