Position	Percent G+C 1 .. 80626
125	0.152
175	0.104
225	0.112
275	0.104
325	0.104
375	0.116
425	0.124
475	0.136
525	0.144
575	0.128
625	0.116
675	0.104
725	0.108
775	0.116
825	0.132
875	0.132
925	0.164
975	0.156
1025	0.140
1075	0.140
1125	0.156
1175	0.136
1225	0.116
1275	0.128
1325	0.108
1375	0.088
1425	0.112
1475	0.108
1525	0.104
1575	0.108
1625	0.120
1675	0.108
1725	0.120
1775	0.116
1825	0.116
1875	0.148
1925	0.136
1975	0.148
2025	0.148
2075	0.156
2125	0.120
2175	0.132
2225	0.132
2275	0.120
2325	0.108
2375	0.152
2425	0.184
2475	0.188
2525	0.240
2575	0.300
2625	0.348
2675	0.380
2725	0.436
2775	0.472
2825	0.480
2875	0.448
2925	0.480
2975	0.488
3025	0.456
3075	0.464
3125	0.480
3175	0.464
3225	0.424
3275	0.456
3325	0.456
3375	0.460
3425	0.444
3475	0.484
3525	0.480
3575	0.460
3625	0.440
3675	0.456
3725	0.440
3775	0.432
3825	0.448
3875	0.456
3925	0.444
3975	0.440
4025	0.432
4075	0.436
4125	0.436
4175	0.420
4225	0.412
4275	0.412
4325	0.412
4375	0.416
4425	0.448
4475	0.488
4525	0.548
4575	0.548
4625	0.552
4675	0.556
4725	0.528
4775	0.488
4825	0.504
4875	0.536
4925	0.496
4975	0.516
5025	0.536
5075	0.556
5125	0.528
5175	0.552
5225	0.548
5275	0.528
5325	0.492
5375	0.492
5425	0.500
5475	0.496
5525	0.496
5575	0.504
5625	0.500
5675	0.520
5725	0.552
5775	0.568
5825	0.596
5875	0.612
5925	0.596
5975	0.568
6025	0.540
6075	0.512
6125	0.508
6175	0.520
6225	0.560
6275	0.612
6325	0.660
6375	0.688
6425	0.696
6475	0.680
6525	0.672
6575	0.668
6625	0.656
6675	0.656
6725	0.660
6775	0.640
6825	0.636
6875	0.620
6925	0.620
6975	0.616
7025	0.620
7075	0.592
7125	0.608
7175	0.584
7225	0.608
7275	0.644
7325	0.672
7375	0.680
7425	0.692
7475	0.680
7525	0.644
7575	0.640
7625	0.644
7675	0.652
7725	0.632
7775	0.636
7825	0.616
7875	0.572
7925	0.552
7975	0.508
8025	0.480
8075	0.428
8125	0.420
8175	0.432
8225	0.460
8275	0.496
8325	0.520
8375	0.556
8425	0.548
8475	0.568
8525	0.552
8575	0.616
8625	0.600
8675	0.600
8725	0.584
8775	0.604
8825	0.588
8875	0.580
8925	0.560
8975	0.552
9025	0.524
9075	0.516
9125	0.532
9175	0.536
9225	0.532
9275	0.540
9325	0.544
9375	0.532
9425	0.536
9475	0.560
9525	0.568
9575	0.556
9625	0.580
9675	0.612
9725	0.624
9775	0.620
9825	0.628
9875	0.628
9925	0.624
9975	0.596
10025	0.588
10075	0.572
10125	0.556
10175	0.564
10225	0.592
10275	0.600
10325	0.572
10375	0.556
10425	0.552
10475	0.564
10525	0.580
10575	0.620
10625	0.664
10675	0.628
10725	0.620
10775	0.580
10825	0.540
10875	0.508
10925	0.532
10975	0.532
11025	0.584
11075	0.648
11125	0.648
11175	0.660
11225	0.672
11275	0.664
11325	0.632
11375	0.608
11425	0.548
11475	0.496
11525	0.464
11575	0.436
11625	0.444
11675	0.452
11725	0.436
11775	0.428
11825	0.436
11875	0.476
11925	0.516
11975	0.572
12025	0.612
12075	0.616
12125	0.616
12175	0.644
12225	0.640
12275	0.632
12325	0.672
12375	0.672
12425	0.640
12475	0.632
12525	0.628
12575	0.624
12625	0.596
12675	0.616
12725	0.616
12775	0.632
12825	0.636
12875	0.668
12925	0.664
12975	0.672
13025	0.664
13075	0.652
13125	0.656
13175	0.648
13225	0.636
13275	0.620
13325	0.560
13375	0.500
13425	0.464
13475	0.452
13525	0.432
13575	0.472
13625	0.540
13675	0.576
13725	0.572
13775	0.552
13825	0.524
13875	0.484
13925	0.460
13975	0.428
14025	0.440
14075	0.472
14125	0.452
14175	0.440
14225	0.440
14275	0.440
14325	0.432
14375	0.468
14425	0.496
14475	0.548
14525	0.568
14575	0.572
14625	0.544
14675	0.540
14725	0.540
14775	0.544
14825	0.520
14875	0.544
14925	0.536
14975	0.496
15025	0.448
15075	0.460
15125	0.448
15175	0.440
15225	0.436
15275	0.464
15325	0.504
15375	0.472
15425	0.468
15475	0.472
15525	0.468
15575	0.448
15625	0.512
15675	0.556
15725	0.592
15775	0.636
15825	0.648
15875	0.636
15925	0.640
15975	0.656
16025	0.620
16075	0.640
16125	0.644
16175	0.584
16225	0.540
16275	0.552
16325	0.528
16375	0.508
16425	0.544
16475	0.556
16525	0.524
16575	0.488
16625	0.504
16675	0.492
16725	0.500
16775	0.532
16825	0.552
16875	0.536
16925	0.528
16975	0.532
17025	0.532
17075	0.548
17125	0.552
17175	0.560
17225	0.544
17275	0.532
17325	0.536
17375	0.524
17425	0.528
17475	0.524
17525	0.556
17575	0.540
17625	0.556
17675	0.572
17725	0.596
17775	0.576
17825	0.592
17875	0.592
17925	0.576
17975	0.568
18025	0.568
18075	0.576
18125	0.584
18175	0.556
18225	0.520
18275	0.528
18325	0.488
18375	0.480
18425	0.484
18475	0.504
18525	0.492
18575	0.508
18625	0.516
18675	0.536
18725	0.552
18775	0.548
18825	0.544
18875	0.532
18925	0.512
18975	0.508
19025	0.476
19075	0.480
19125	0.484
19175	0.476
19225	0.480
19275	0.492
19325	0.484
19375	0.484
19425	0.512
19475	0.528
19525	0.560
19575	0.560
19625	0.576
19675	0.600
19725	0.568
19775	0.544
19825	0.560
19875	0.560
19925	0.540
19975	0.552
20025	0.576
20075	0.536
20125	0.492
20175	0.476
20225	0.480
20275	0.472
20325	0.496
20375	0.496
20425	0.504
20475	0.464
20525	0.456
20575	0.452
20625	0.480
20675	0.480
20725	0.516
20775	0.520
20825	0.520
20875	0.480
20925	0.468
20975	0.472
21025	0.444
21075	0.452
21125	0.476
21175	0.484
21225	0.464
21275	0.508
21325	0.500
21375	0.516
21425	0.536
21475	0.548
21525	0.548
21575	0.584
21625	0.580
21675	0.552
21725	0.572
21775	0.556
21825	0.540
21875	0.556
21925	0.580
21975	0.552
22025	0.600
22075	0.604
22125	0.616
22175	0.628
22225	0.668
22275	0.640
22325	0.644
22375	0.612
22425	0.604
22475	0.596
22525	0.608
22575	0.600
22625	0.604
22675	0.604
22725	0.608
22775	0.584
22825	0.592
22875	0.600
22925	0.580
22975	0.560
23025	0.544
23075	0.500
23125	0.476
