293	0.000
11	0.004
15	0.008
19	0.012
29	0.016
44	0.020
51	0.024
79	0.028
134	0.032
117	0.036
196	0.040
246	0.044
300	0.048
327	0.052
459	0.056
529	0.060
587	0.064
720	0.068
745	0.072
786	0.076
876	0.080
917	0.084
941	0.088
995	0.092
980	0.096
1037	0.100
1107	0.104
1107	0.108
1105	0.112
1025	0.116
1077	0.120
1084	0.124
1074	0.128
1098	0.132
1087	0.136
1042	0.140
1039	0.144
966	0.148
1004	0.152
953	0.156
956	0.160
922	0.164
889	0.168
807	0.172
804	0.176
806	0.180
750	0.184
711	0.188
762	0.192
682	0.196
683	0.200
654	0.204
588	0.208
606	0.212
565	0.216
542	0.220
545	0.224
464	0.228
480	0.232
492	0.236
481	0.240
420	0.244
432	0.248
424	0.252
371	0.256
424	0.260
409	0.264
371	0.268
434	0.272
398	0.276
399	0.280
378	0.284
382	0.288
404	0.292
405	0.296
413	0.300
371	0.304
400	0.308
445	0.312
495	0.316
524	0.320
564	0.324
634	0.328
631	0.332
771	0.336
838	0.340
973	0.344
1173	0.348
1372	0.352
1524	0.356
1795	0.360
1951	0.364
2315	0.368
2632	0.372
3125	0.376
3450	0.380
3943	0.384
4349	0.388
4790	0.392
5370	0.396
5830	0.400
6458	0.404
7072	0.408
7728	0.412
8492	0.416
9217	0.420
9993	0.424
10720	0.428
11388	0.432
12050	0.436
12736	0.440
13682	0.444
14233	0.448
15100	0.452
15730	0.456
16694	0.460
17408	0.464
17783	0.468
18372	0.472
18999	0.476
19421	0.480
19596	0.484
19929	0.488
19994	0.492
20071	0.496
19985	0.500
19814	0.504
19632	0.508
19373	0.512
19384	0.516
18767	0.520
18247	0.524
17693	0.528
17159	0.532
16403	0.536
15272	0.540
14943	0.544
14002	0.548
13287	0.552
12618	0.556
11666	0.560
10911	0.564
9914	0.568
9135	0.572
8511	0.576
7671	0.580
7065	0.584
6527	0.588
5822	0.592
5296	0.596
4780	0.600
4242	0.604
3821	0.608
3453	0.612
3009	0.616
2562	0.620
2265	0.624
2093	0.628
1664	0.632
1543	0.636
1370	0.640
1247	0.644
972	0.648
940	0.652
749	0.656
677	0.660
553	0.664
489	0.668
399	0.672
349	0.676
285	0.680
225	0.684
195	0.688
163	0.692
110	0.696
107	0.700
68	0.704
64	0.708
44	0.712
25	0.716
32	0.720
12	0.724
12	0.728
6	0.732
7	0.736
4	0.740
1	0.744
1	0.748
1	0.752
1	0.756
