Position	Percent G+C 1 .. 4944971
125	0.188
175	0.212
225	0.212
275	0.224
325	0.188
375	0.216
425	0.216
475	0.196
525	0.176
575	0.196
625	0.168
675	0.200
725	0.240
775	0.240
825	0.228
875	0.224
925	0.188
975	0.152
1025	0.132
1075	0.132
1125	0.128
1175	0.128
1225	0.124
1275	0.168
1325	0.184
1375	0.196
1425	0.184
1475	0.188
1525	0.156
1575	0.176
1625	0.184
1675	0.172
1725	0.180
1775	0.168
1825	0.136
1875	0.148
1925	0.168
1975	0.156
2025	0.176
2075	0.192
2125	0.192
2175	0.176
2225	0.184
2275	0.168
2325	0.140
2375	0.104
2425	0.120
2475	0.104
2525	0.096
2575	0.128
2625	0.148
2675	0.128
2725	0.136
2775	0.136
2825	0.104
2875	0.100
2925	0.096
2975	0.116
3025	0.116
3075	0.108
3125	0.116
3175	0.132
3225	0.112
3275	0.108
3325	0.120
3375	0.128
3425	0.116
3475	0.104
3525	0.148
3575	0.140
3625	0.132
3675	0.160
3725	0.176
3775	0.136
3825	0.140
3875	0.124
3925	0.100
3975	0.096
4025	0.092
4075	0.076
4125	0.076
4175	0.084
4225	0.080
4275	0.068
4325	0.108
4375	0.104
4425	0.108
4475	0.100
4525	0.120
4575	0.088
4625	0.092
4675	0.084
4725	0.088
4775	0.096
4825	0.124
4875	0.120
4925	0.124
4975	0.116
5025	0.092
5075	0.056
5125	0.056
5175	0.040
5225	0.052
5275	0.052
5325	0.068
5375	0.080
5425	0.084
5475	0.084
5525	0.104
5575	0.104
5625	0.096
5675	0.108
5725	0.108
5775	0.104
5825	0.104
5875	0.100
5925	0.096
5975	0.092
6025	0.088
6075	0.076
6125	0.088
6175	0.108
6225	0.096
6275	0.092
6325	0.092
6375	0.084
6425	0.080
6475	0.084
6525	0.092
6575	0.112
6625	0.112
6675	0.092
6725	0.088
6775	0.096
6825	0.088
6875	0.084
6925	0.092
6975	0.108
7025	0.096
7075	0.088
7125	0.096
7175	0.108
7225	0.104
7275	0.100
7325	0.116
7375	0.100
7425	0.076
7475	0.064
7525	0.064
7575	0.052
7625	0.068
7675	0.088
7725	0.096
7775	0.100
7825	0.104
7875	0.100
7925	0.076
7975	0.080
8025	0.068
8075	0.072
8125	0.072
8175	0.076
8225	0.088
8275	0.092
8325	0.072
8375	0.072
8425	0.080
8475	0.064
8525	0.084
8575	0.096
8625	0.104
8675	0.108
8725	0.112
8775	0.092
8825	0.100
8875	0.096
8925	0.088
8975	0.088
9025	0.092
9075	0.088
9125	0.104
9175	0.100
9225	0.104
9275	0.112
9325	0.108
9375	0.084
9425	0.084
9475	0.100
9525	0.096
9575	0.112
9625	0.124
9675	0.144
9725	0.136
9775	0.140
9825	0.140
9875	0.144
9925	0.128
9975	0.116
10025	0.104
10075	0.084
10125	0.064
10175	0.072
10225	0.072
10275	0.068
10325	0.076
10375	0.088
10425	0.088
10475	0.084
10525	0.092
10575	0.108
10625	0.104
10675	0.100
10725	0.100
10775	0.100
10825	0.088
10875	0.100
10925	0.108
10975	0.108
11025	0.112
11075	0.108
11125	0.092
11175	0.088
11225	0.100
11275	0.104
11325	0.112
11375	0.108
11425	0.104
11475	0.084
11525	0.080
11575	0.072
11625	0.084
11675	0.088
11725	0.116
11775	0.112
11825	0.100
11875	0.096
11925	0.084
