54	0.000
90	0.004
138	0.008
127	0.012
167	0.016
176	0.020
221	0.024
184	0.028
195	0.032
181	0.036
190	0.040
184	0.044
179	0.048
195	0.052
173	0.056
199	0.060
173	0.064
157	0.068
180	0.072
157	0.076
169	0.080
168	0.084
192	0.088
168	0.092
182	0.096
209	0.100
178	0.104
194	0.108
194	0.112
199	0.116
176	0.120
189	0.124
179	0.128
185	0.132
173	0.136
200	0.140
175	0.144
194	0.148
180	0.152
205	0.156
182	0.160
170	0.164
200	0.168
180	0.172
190	0.176
175	0.180
160	0.184
199	0.188
172	0.192
165	0.196
185	0.200
132	0.204
150	0.208
171	0.212
162	0.216
151	0.220
125	0.224
150	0.228
139	0.232
149	0.236
130	0.240
135	0.244
136	0.248
122	0.252
115	0.256
135	0.260
121	0.264
116	0.268
130	0.272
130	0.276
127	0.280
152	0.284
156	0.288
158	0.292
152	0.296
181	0.300
187	0.304
216	0.308
244	0.312
317	0.316
322	0.320
414	0.324
452	0.328
593	0.332
636	0.336
746	0.340
918	0.344
1063	0.348
1281	0.352
1450	0.356
1747	0.360
2040	0.364
2256	0.368
2690	0.372
3039	0.376
3340	0.380
3895	0.384
4228	0.388
4829	0.392
5437	0.396
5936	0.400
6331	0.404
7154	0.408
7585	0.412
8292	0.416
9212	0.420
9514	0.424
10475	0.428
11164	0.432
11946	0.436
12642	0.440
13377	0.444
14158	0.448
14708	0.452
15559	0.456
15920	0.460
16967	0.464
17159	0.468
17780	0.472
18343	0.476
18567	0.480
18690	0.484
19053	0.488
19266	0.492
19264	0.496
19499	0.500
19279	0.504
19189	0.508
18976	0.512
18666	0.516
18330	0.520
18268	0.524
17372	0.528
16970	0.532
16492	0.536
15851	0.540
15301	0.544
14469	0.548
13793	0.552
12902	0.556
12140	0.560
11432	0.564
10599	0.568
9827	0.572
9317	0.576
8322	0.580
7749	0.584
6951	0.588
6235	0.592
5673	0.596
5243	0.600
4547	0.604
4130	0.608
3747	0.612
3253	0.616
2943	0.620
2499	0.624
2276	0.628
1925	0.632
1688	0.636
1440	0.640
1304	0.644
1153	0.648
1000	0.652
919	0.656
775	0.660
599	0.664
564	0.668
478	0.672
386	0.676
321	0.680
262	0.684
218	0.688
192	0.692
149	0.696
107	0.700
86	0.704
70	0.708
53	0.712
43	0.716
38	0.720
27	0.724
16	0.728
17	0.732
7	0.736
5	0.740
5	0.744
7	0.748
3	0.752
1	0.768
