Position	Percent G+C 1 .. 7016
125	0.036
175	0.040
225	0.032
275	0.044
325	0.032
375	0.060
425	0.064
475	0.068
525	0.076
575	0.088
625	0.072
675	0.072
725	0.096
775	0.080
825	0.112
875	0.128
925	0.152
975	0.132
1025	0.152
1075	0.108
1125	0.092
1175	0.056
1225	0.064
1275	0.064
1325	0.092
1375	0.120
1425	0.136
1475	0.140
1525	0.144
1575	0.156
1625	0.164
1675	0.184
1725	0.208
1775	0.256
1825	0.300
1875	0.312
1925	0.328
1975	0.368
2025	0.372
2075	0.356
2125	0.392
2175	0.448
2225	0.472
2275	0.484
2325	0.544
2375	0.532
2425	0.512
2475	0.504
2525	0.524
2575	0.480
2625	0.492
2675	0.500
2725	0.464
2775	0.400
2825	0.392
2875	0.364
2925	0.332
2975	0.344
3025	0.356
3075	0.332
3125	0.332
3175	0.344
3225	0.300
3275	0.308
3325	0.336
3375	0.328
3425	0.328
3475	0.412
3525	0.424
3575	0.420
3625	0.436
3675	0.452
3725	0.432
3775	0.464
3825	0.480
3875	0.492
3925	0.484
3975	0.488
4025	0.456
4075	0.456
4125	0.476
4175	0.500
4225	0.476
4275	0.488
4325	0.508
4375	0.516
4425	0.504
4475	0.520
4525	0.500
4575	0.496
4625	0.492
4675	0.500
4725	0.488
4775	0.492
4825	0.492
4875	0.476
4925	0.432
4975	0.432
5025	0.440
5075	0.376
5125	0.336
5175	0.312
5225	0.288
5275	0.256
5325	0.252
5375	0.248
5425	0.216
5475	0.160
5525	0.120
5575	0.104
5625	0.100
5675	0.152
5725	0.208
5775	0.260
5825	0.292
5875	0.288
5925	0.284
5975	0.268
6025	0.236
6075	0.200
6125	0.196
6175	0.184
6225	0.188
6275	0.196
6325	0.196
6375	0.220
6425	0.236
6475	0.208
6525	0.172
6575	0.160
6625	0.120
6675	0.112
6725	0.124
6775	0.136
6825	0.148
6875	0.176
