Position	Percent G+C 1 .. 3481
125	0.272
175	0.352
225	0.388
275	0.392
325	0.360
375	0.300
425	0.232
475	0.184
525	0.168
575	0.192
625	0.204
675	0.220
725	0.216
775	0.220
825	0.188
875	0.204
925	0.192
975	0.196
1025	0.204
1075	0.228
1125	0.200
1175	0.196
1225	0.212
1275	0.200
1325	0.160
1375	0.180
1425	0.172
1475	0.156
1525	0.156
1575	0.168
1625	0.160
1675	0.192
1725	0.200
1775	0.192
1825	0.216
1875	0.216
1925	0.216
1975	0.244
2025	0.260
2075	0.240
2125	0.224
2175	0.196
2225	0.180
2275	0.172
2325	0.180
2375	0.180
2425	0.192
2475	0.204
2525	0.196
2575	0.180
2625	0.208
2675	0.228
2725	0.212
2775	0.220
2825	0.244
2875	0.228
2925	0.196
2975	0.208
3025	0.204
3075	0.192
3125	0.192
3175	0.200
3225	0.204
3275	0.188
3325	0.212
